path,group,grid,run,crashed,started,finished
weedmapping-rededge,SplitLawinFineTune,0,0,False,30-05-2023T10:47:10,30-05-2023T11:38:55
weedmapping-rededge,SplitLawinFineTune,0,1,False,30-05-2023T11:38:55,30-05-2023T12:30:42
weedmapping-rededge,SplitLawinFineTune,0,2,False,30-05-2023T12:30:42,30-05-2023T13:14:36
weedmapping-rededge,SplitLawinFineTune,0,4,False,30-05-2023T14:04:02,30-05-2023T15:09:49
weedmapping-rededge,SplitLawinFineTune,0,5,False,30-05-2023T15:09:49,30-05-2023T16:08:28
weedmapping-rededge,SplitLawinFineTune,0,6,False,30-05-2023T16:08:28,
weedmapping-rededge,SplitLawinFineTune,0,7,False,28-05-2023T07:39:46,28-05-2023T08:46:29
weedmapping-rededge,SplitLawinFineTune,0,8,False,24-09-2022T16:23:15,24-09-2022T16:55:15
weedmapping-rededge,SplitLawinFineTune,0,9,False,24-09-2022T16:23:15,24-09-2022T16:55:15
weedmapping-rededge,SplitLawinFineTune,0,10,False,24-09-2022T16:23:15,24-09-2022T16:55:15
weedmapping-rededge,SplitLawinFineTune,0,11,False,24-09-2022T16:23:15,24-09-2022T16:55:15
weedmapping-rededge,SplitLawinFineTune,0,12,False,24-09-2022T16:23:15,24-09-2022T16:55:15
weedmapping-rededge,SplitLawinFineTune,0,13,False,24-09-2022T15:08:17,24-09-2022T17:21:11
weedmapping-rededge,SplitLawinFineTune,0,14,False,24-09-2022T17:21:11,24-09-2022T20:54:13
weedmapping-rededge,SplitLawinFineTune,0,15,False,24-09-2022T20:54:13,25-09-2022T13:26:38
weedmapping-rededge,SplitLawinFineTune,1,0,False,28-05-2023T08:46:29,28-05-2023T09:35:17
weedmapping-rededge,SplitLawinFineTune,1,1,False,28-05-2023T09:35:17,28-05-2023T10:25:25
weedmapping-rededge,SplitLawinFineTune,1,2,False,28-05-2023T10:25:25,28-05-2023T11:23:33
weedmapping-rededge,SplitLawinFineTune,1,3,False,28-05-2023T11:23:33,28-05-2023T12:26:52
weedmapping-rededge,SplitLawinFineTune,1,4,False,28-05-2023T12:26:52,28-05-2023T13:44:19
weedmapping-rededge,SplitLawinFineTune,1,5,False,28-05-2023T13:44:19,28-05-2023T15:00:53
weedmapping-rededge,SplitLawinFineTune,1,6,False,28-05-2023T15:00:53,28-05-2023T16:03:43
weedmapping-rededge,SplitLawinFineTune,1,7,False,28-05-2023T16:03:43,28-05-2023T17:22:28
weedmapping-rededge,SplitLawinFineTune,1,8,False,26-09-2022T15:24:50,26-09-2022T18:12:58
weedmapping-rededge,SplitLawinFineTune,1,9,False,26-09-2022T18:12:58,26-09-2022T22:10:12
weedmapping-rededge,SplitLawinFineTune,1,10,False,26-09-2022T22:10:12,27-09-2022T01:58:03
weedmapping-rededge,SplitLawinFineTune,1,11,False,27-09-2022T01:58:03,27-09-2022T06:00:32
weedmapping-rededge,SplitLawinFineTune,1,12,False,27-09-2022T06:00:32,27-09-2022T10:12:26
weedmapping-rededge,SplitLawinFineTune,1,13,False,27-09-2022T14:59:28,27-09-2022T15:51:21
weedmapping-rededge,SplitLawinFineTune,1,14,False,27-09-2022T15:51:21,27-09-2022T19:51:21
weedmapping-rededge,SplitLawinFineTune,1,15,False,27-09-2022T19:51:21,27-09-2022T23:03:04
weedmapping-sequoia,SplitLawinFineTune,0,1,False,28-09-2022T20:59:59,29-09-2022T01:15:16
weedmapping-sequoia,SplitLawinFineTune,0,0,False,28-09-2022T15:08:01,28-09-2022T20:59:59
weedmapping-sequoia,SplitLawinFineTune,0,2,False,29-09-2022T09:06:52,29-09-2022T10:35:22
weedmapping-sequoia,SplitLawinFineTune,0,3,False,29-09-2022T10:35:22,29-09-2022T15:39:50
weedmapping-sequoia,SplitLawinFineTune,0,4,False,01-10-2022T09:54:33,01-10-2022T10:56:45
weedmapping-sequoia,SplitLawinFineTune,0,5,False,03-10-2022T08:36:46,03-10-2022T09:28:30
weedmapping-sequoia,SplitLawinFineTune,0,6,False,03-10-2022T14:39:45,03-10-2022T15:30:27
weedmapping-sequoia,SplitLawinFineTune,0,7,False,03-10-2022T17:17:58,03-10-2022T19:43:16
