Backbone,Strategy,Fusion,Used Weights,Channels,F1,AUC
MiT-B0,Fine-Tuning,Conv,"R, G, B, G","R, G, B, NDVI",0.843,0.977
MiT-B0,Fine-Tuning,Conv,"R, G, B, G","R, G, B, NIR",0.853,0.936
MiT-B0,Fine-Tuning,Conv,"R, G, B, G","R, G, B, RE",0.851,0.932
MiT-B0,Fine-Tuning,Conv,"R, G, B, G, G","R, G, B, NIR, RE",0.859,0.96
MiT-B0,Fine-Tuning,Conv Drop,"R, G, B, G","R, G, B, NDVI",0.858,0.977
MiT-B0,Fine-Tuning,Conv Drop,"R, G, B, G","R, G, B, NIR",0.862,0.952
MiT-B0,Fine-Tuning,Conv Drop,"R, G, B, G","R, G, B, RE",0.857,0.978
MiT-B0,Fine-Tuning,Conv Drop,"R, G, B, G, G","R, G, B, NIR, RE",0.853,0.962
MiT-B0,Fine-Tuning,SE,"R, G","R, G, B, NDVI",0.852,0.961
MiT-B0,Fine-Tuning,SE,"R, G","R, G, B, NIR",0.858,0.91
MiT-B0,Fine-Tuning,SE,"R, G","R, G, B, NIR, RE",0.864,0.957
MiT-B0,Fine-Tuning,SE,"R, G","R, G, B, RE",0.859,0.975
MiT-B0,Fine-Tuning,SE,"R, G, B, G","R, G, B, NDVI",0.717,0.967
MiT-B0,Fine-Tuning,SE,"R, G, B, G","R, G, B, NIR",0.74,0.967
MiT-B0,Fine-Tuning,SE,"R, G, B, G","R, G, B, RE",0.754,0.956
MiT-B0,Fine-Tuning,SE,"R, G, B, G, G","R, G, B, NIR, RE",0.755,0.946
MiT-B0,Freeze,Conv,"R, G","R, G, B, NDVI",0.851,0.945
MiT-B0,Freeze,Conv,"R, G","R, G, B, NIR",0.852,0.974
MiT-B0,Freeze,Conv,"R, G","R, G, B, NIR, RE",0.855,0.952
MiT-B0,Freeze,Conv,"R, G","R, G, B, RE",0.852,0.959
MiT-B0,Freeze,Conv,"R, G, B, G","R, G, B, NDVI",0.848,0.883
MiT-B0,Freeze,Conv,"R, G, B, G","R, G, B, NIR",0.839,0.968
MiT-B0,Freeze,Conv,"R, G, B, G","R, G, B, RE",0.846,0.941
MiT-B0,Freeze,Conv,"R, G, B, G, G","R, G, B, NIR, RE",0.843,0.965
MiT-B0,Freeze,Conv Drop,"R, G","R, G, B, NDVI",0.842,0.891
MiT-B0,Freeze,Conv Drop,"R, G","R, G, B, NIR",0.836,0.919
MiT-B0,Freeze,Conv Drop,"R, G","R, G, B, NIR, RE",0.846,0.971
MiT-B0,Freeze,Conv Drop,"R, G","R, G, B, RE",0.815,0.949
MiT-B0,Freeze,Conv Drop,"R, G, B, G","R, G, B, NDVI",0.846,0.959
MiT-B0,Freeze,Conv Drop,"R, G, B, G","R, G, B, NIR",0.837,0.953
MiT-B0,Freeze,Conv Drop,"R, G, B, G","R, G, B, RE",0.833,0.937
MiT-B0,Freeze,Conv Drop,"R, G, B, G, G","R, G, B, NIR, RE",0.848,0.941
MiT-B0,Freeze,SE,"R, G, B, G","R, G, B, NDVI",0.733,0.95
MiT-B0,Freeze,SE,"R, G, B, G","R, G, B, NIR",0.738,0.957
MiT-B0,Freeze,SE,"R, G, B, G","R, G, B, RE",0.768,0.956
MiT-B0,Freeze,SE,"R, G, B, G, G","R, G, B, NIR, RE",0.732,0.974
MiT-B1,Fine-Tuning,Conv,"R, G, B, G","R, G, B, NDVI",0.858,0.965
MiT-B1,Fine-Tuning,Conv,"R, G, B, G","R, G, B, NIR",0.856,0.95
MiT-B1,Fine-Tuning,Conv,"R, G, B, G","R, G, B, RE",0.857,0.969
MiT-B1,Fine-Tuning,Conv,"R, G, B, G, G","R, G, B, NIR, RE",0.865,0.921
MiT-B1,Fine-Tuning,Conv Drop,"R, G, B, G","R, G, B, NDVI",0.86,0.911
MiT-B1,Fine-Tuning,Conv Drop,"R, G, B, G","R, G, B, NIR",0.86,0.956
MiT-B1,Fine-Tuning,Conv Drop,"R, G, B, G","R, G, B, RE",0.862,0.944
MiT-B1,Fine-Tuning,Conv Drop,"R, G, B, G, G","R, G, B, NIR, RE",0.857,0.876
MiT-B1,Fine-Tuning,SE,"R, G","R, G, B, NDVI",0.857,0.865
MiT-B1,Fine-Tuning,SE,"R, G","R, G, B, NIR",0.861,0.962
MiT-B1,Fine-Tuning,SE,"R, G","R, G, B, NIR, RE",0.865,0.928
MiT-B1,Fine-Tuning,SE,"R, G","R, G, B, RE",0.862,0.964
MiT-B1,Fine-Tuning,SE,"R, G, B, G","R, G, B, NDVI",0.757,0.937
MiT-B1,Fine-Tuning,SE,"R, G, B, G","R, G, B, NIR",0.741,0.945
MiT-B1,Fine-Tuning,SE,"R, G, B, G","R, G, B, RE",0.763,0.875
MiT-B1,Fine-Tuning,SE,"R, G, B, G, G","R, G, B, NIR, RE",0.758,0.938
MiT-B1,Freeze,Conv,"R, G","R, G, B, NDVI",0.845,0.916
MiT-B1,Freeze,Conv,"R, G","R, G, B, NIR",0.852,0.954
MiT-B1,Freeze,Conv,"R, G","R, G, B, NIR, RE",0.854,0.939
MiT-B1,Freeze,Conv,"R, G","R, G, B, RE",0.855,0.943
MiT-B1,Freeze,Conv,"R, G, B, G","R, G, B, NDVI",0.857,0.907
MiT-B1,Freeze,Conv,"R, G, B, G","R, G, B, NIR",0.859,0.951
MiT-B1,Freeze,Conv,"R, G, B, G","R, G, B, RE",0.85,0.942
MiT-B1,Freeze,Conv,"R, G, B, G, G","R, G, B, NIR, RE",0.858,0.934
MiT-B1,Freeze,Conv Drop,"R, G","R, G, B, NDVI",0.852,0.967
MiT-B1,Freeze,Conv Drop,"R, G","R, G, B, NIR",0.839,0.905
MiT-B1,Freeze,Conv Drop,"R, G","R, G, B, NIR, RE",0.84,0.93
MiT-B1,Freeze,Conv Drop,"R, G","R, G, B, RE",0.81,0.95
MiT-B1,Freeze,Conv Drop,"R, G, B, G","R, G, B, NDVI",0.852,0.963
MiT-B1,Freeze,Conv Drop,"R, G, B, G","R, G, B, NIR",0.844,0.933
MiT-B1,Freeze,Conv Drop,"R, G, B, G","R, G, B, RE",0.845,0.96
MiT-B1,Freeze,Conv Drop,"R, G, B, G, G","R, G, B, NIR, RE",0.851,0.925
MiT-B1,Freeze,SE,"R, G, B, G","R, G, B, NDVI",0.743,0.932
MiT-B1,Freeze,SE,"R, G, B, G","R, G, B, NIR",0.731,0.935
MiT-B1,Freeze,SE,"R, G, B, G","R, G, B, RE",0.754,0.965
MiT-B1,Freeze,SE,"R, G, B, G, G","R, G, B, NIR, RE",0.742,0.957
