Backbone,Strategy,Fusion,Used Weights,Channels,F1,AUC
MiT-B0,Fine-Tuning,Conv,"R, G, G","R, G, NDVI",0.349,0.893
MiT-B0,Fine-Tuning,Conv,"R, G, G","R, G, NIR",0.378,0.9
MiT-B0,Fine-Tuning,Conv,"R, G, G","R, G, RE",0.425,0.943
MiT-B0,Fine-Tuning,Conv,"R, G, G, G","R, G, NIR, RE",0.406,0.951
MiT-B0,Fine-Tuning,Conv Drop,"R, G, G","R, G, NDVI",0.635,0.97
MiT-B0,Fine-Tuning,Conv Drop,"R, G, G","R, G, NIR",0.468,0.887
MiT-B0,Fine-Tuning,Conv Drop,"R, G, G","R, G, RE",0.574,0.95
MiT-B0,Fine-Tuning,Conv Drop,"R, G, G, G","R, G, NIR, RE",0.457,0.943
MiT-B0,Fine-Tuning,SE,"R, G, G","R, G, NDVI",0.347,0.961
MiT-B0,Fine-Tuning,SE,"R, G, G","R, G, NIR",0.426,0.934
MiT-B0,Fine-Tuning,SE,"R, G, G","R, G, RE",0.461,0.937
MiT-B0,Fine-Tuning,SE,"R, G, G, G","R, G, NIR, RE",0.391,0.966
MiT-B0,Freeze,Conv,"R, G, B","R, G, NDVI",0.55,0.962
MiT-B0,Freeze,Conv,"R, G, B","R, G, NIR",0.565,0.91
MiT-B0,Freeze,Conv,"R, G, B","R, G, NIR, RE",0.529,0.912
MiT-B0,Freeze,Conv,"R, G, B","R, G, RE",0.542,0.964
MiT-B0,Freeze,Conv,"R, G, G","R, G, NDVI",0.377,0.962
MiT-B0,Freeze,Conv,"R, G, G","R, G, NIR",0.494,0.942
MiT-B0,Freeze,Conv,"R, G, G","R, G, RE",0.509,0.946
MiT-B0,Freeze,Conv,"R, G, G, G","R, G, NIR, RE",0.436,0.892
MiT-B0,Freeze,Conv Drop,"R, G, B","R, G, NDVI",0.37,0.947
MiT-B0,Freeze,Conv Drop,"R, G, B","R, G, NIR",0.442,0.931
MiT-B0,Freeze,Conv Drop,"R, G, B","R, G, NIR, RE",0.479,0.956
MiT-B0,Freeze,Conv Drop,"R, G, B","R, G, RE",0.467,0.92
MiT-B0,Freeze,Conv Drop,"R, G, G","R, G, NDVI",0.566,0.971
MiT-B0,Freeze,Conv Drop,"R, G, G","R, G, NIR",0.587,0.935
MiT-B0,Freeze,Conv Drop,"R, G, G","R, G, RE",0.473,0.916
MiT-B0,Freeze,Conv Drop,"R, G, G, G","R, G, NIR, RE",0.473,0.926
